SCC Single Stack - Ag 11nm - AlN 43nm					
	Transmittance	Reflectance	AM 1.5		42
1980	7.872086	84.585759	5.21E+00	7.42E-02	
1985	7.828609	84.674144	5.73E+00	8.16E-02	
1990	7.785863	84.769023	5.91E+00	8.41E-02	
1995	7.750066	84.840135	5.60E+00	7.98E-02	
2000	7.656828	84.896044	2.63E+00	3.75E-02	
2005	7.609115	84.842538	1.04E+00	1.47E-02	
2010	7.584166	84.907786	2.74E+00	3.91E-02	
2015	7.539664	85.025886	1.84E+00	2.62E-02	
2020	7.530088	85.054929	3.11E+00	4.42E-02	
2025	7.454184	85.065816	5.11E+00	7.28E-02	
2030	7.416907	85.095462	5.86E+00	8.35E-02	
2035	7.390908	85.188329	6.66E+00	9.48E-02	
2040	7.346209	85.277391	6.20E+00	8.83E-02	
2045	7.340297	85.332759	6.30E+00	8.96E-02	
2050	7.29253	85.375946	4.70E+00	6.69E-02	
2055	7.241095	85.354197	3.80E+00	5.41E-02	
2060	7.171017	85.330144	4.79E+00	6.82E-02	
2065	7.122681	85.412312	4.28E+00	6.10E-02	
2070	7.125009	85.448768	4.55E+00	6.47E-02	
2075	7.125524	85.468701	5.36E+00	7.63E-02	
2080	7.046911	85.474445	6.01E+00	8.55E-02	
2085	7.03028	85.532264	5.89E+00	8.38E-02	
2090	7.017799	85.49199	6.17E+00	8.78E-02	
2095	6.985803	85.466319	6.21E+00	8.84E-02	
2100	6.934777	85.55304	5.96E+00	8.49E-02	
2105	6.917458	85.537274	6.45E+00	9.18E-02	
2110	6.847454	85.495512	6.20E+00	8.83E-02	
2115	6.832009	85.60319	6.34E+00	9.03E-02	
2120	6.810629	85.662916	6.06E+00	8.63E-02	
2125	6.726845	85.627981	6.13E+00	8.73E-02	
2130	6.747937	85.67481	6.21E+00	8.84E-02	
2135	6.734269	85.643161	6.23E+00	8.87E-02	
2140	6.670359	85.716765	6.28E+00	8.94E-02	
2145	6.621506	85.821147	6.19E+00	8.81E-02	
2150	6.587685	85.834781	5.86E+00	8.34E-02	
2155	6.565306	85.762925	5.87E+00	8.36E-02	
2160	6.480016	85.807997	5.82E+00	8.29E-02	
2165	6.46744	85.87196	5.28E+00	7.52E-02	
2170	6.444892	85.921405	5.67E+00	8.08E-02	
2175	6.399245	85.974869	5.57E+00	7.93E-02	
2180	6.366151	86.003742	5.66E+00	8.06E-02	
2185	6.326509	86.136319	5.16E+00	7.35E-02	
2190	6.292818	86.076796	5.47E+00	7.79E-02	
2195	6.249437	86.152603	5.47E+00	7.78E-02	
2200	6.243547	86.070078	4.93E+00	7.02E-02	
2205	6.238642	86.253425	5.12E+00	7.29E-02	
2210	6.178553	86.170777	5.49E+00	7.82E-02	
2215	6.134768	86.205887	5.28E+00	7.52E-02	
2220	6.091748	86.159091	5.38E+00	7.66E-02	
2225	6.068957	86.290929	5.23E+00	7.44E-02	
2230	6.045315	86.117057	5.25E+00	7.47E-02	
2235	6.027807	86.186381	5.15E+00	7.33E-02	
2240	6.031888	86.404276	5.07E+00	7.21E-02	
2245	6.002892	86.419318	4.91E+00	6.99E-02	
2250	5.970369	86.324839	4.99E+00	7.10E-02	
2255	5.940932	86.430759	4.70E+00	6.69E-02	
2260	5.948336	86.534889	4.65E+00	6.61E-02	
2265	5.910142	86.379231	4.73E+00	6.74E-02	
2270	5.889956	86.534675	4.50E+00	6.41E-02	
2275	5.872552	86.590087	4.45E+00	6.33E-02	
2280	5.82558	86.845994	4.60E+00	6.56E-02	
2285	5.814483	86.460132	4.38E+00	6.24E-02	
2290	5.799686	86.446198	4.39E+00	6.25E-02	
2295	5.784447	86.71799	4.26E+00	6.06E-02	
2300	5.72756	86.541905	4.09E+00	5.82E-02	
2305	5.726799	86.883486	4.11E+00	5.85E-02	
2310	5.711906	86.773312	4.44E+00	6.32E-02	
2315	5.691907	87.040197	4.04E+00	5.75E-02	
2320	5.686247	86.817263	3.62E+00	5.15E-02	
2325	5.627579	87.094754	3.91E+00	5.56E-02	
2330	5.560191	87.07999	3.95E+00	5.62E-02	
2335	5.563081	86.902559	4.03E+00	5.74E-02	
2340	5.544365	87.119601	3.19E+00	4.54E-02	
2345	5.544787	86.895238	3.57E+00	5.09E-02	
2350	5.451065	87.277285	2.89E+00	4.11E-02	
2355	5.471406	87.042817	3.30E+00	4.70E-02	
2360	5.445852	87.205522	3.49E+00	4.97E-02	
2365	5.440331	86.98985	3.44E+00	4.89E-02	
2370	5.441757	86.990146	2.14E+00	3.05E-02	
2375	5.320043	87.128271	3.07E+00	4.37E-02	
2380	5.348602	86.968381	2.96E+00	4.21E-02	
2385	5.295802	87.214357	2.14E+00	3.05E-02	
2390	5.353034	86.854518	2.58E+00	3.67E-02	
2395	5.281375	87.075904	2.82E+00	4.02E-02	
2400	5.204102	87.108549	3.07E+00	4.37E-02	
2405	5.235743	86.938116	2.34E+00	3.33E-02	
2410	5.219731	87.360787	2.35E+00	3.35E-02	
2415	5.17398	87.057955	1.90E+00	2.71E-02	
2420	5.103064	87.079539	1.85E+00	2.64E-02	
2425	5.09456	87.474053	2.30E+00	3.28E-02	
2430	5.089256	86.97371	3.14E+00	4.47E-02	
2435	5.064116	87.301032	1.04E+00	1.48E-02	
2440	5.049925	87.279529	3.01E+00	4.29E-02	
2445	5.005583	87.32537	1.45E+00	2.07E-02	
2450	4.974101	87.493015	9.50E-01	1.35E-02	
2455	4.979706	86.97324	1.73E+00	2.47E-02	
2460	4.946198	87.326825	2.33E+00	3.32E-02	
2465	4.862326	87.673001	1.69E+00	2.40E-02	
2470	4.890685	87.773501	1.17E+00	1.66E-02	
2475	4.845475	87.059881	1.15E+00	1.64E-02	
2480	4.834029	87.307481	5.62E-01	8.00E-03	
2485	4.827993	87.862719	3.92E-01	5.58E-03	
2490	4.801194	87.31287	2.46E-01	3.50E-03	
2495	4.797431	87.69752	2.01E-01	2.86E-03	
2500	4.731206	87.326319	4.94E-01	7.03E-03	
